start,2,,,,
view,black,fadeout,0.5,,
back,black,0.5,,,
text,char1,じゃがいも,100,100,ねえねえ！君はこの畑のじゃがいもかい？
wait,1,,,,
text,char2,レッドポテト,100,100,ん！？誰だお前！
wait,1,,,,
text,char1,じゃがいも,100,100,僕、この先の道で乗り物から落ちてしまったんだ。だから、一度畑に戻ってきて、もう一度乗せてもらおうと思って帰ってきたんだ！
wait,1,,,,
text,char2,レッドポテト,100,100,もう一度乗るだと！？ここはお前の畑じゃないぞ！
wait,1,,,,
text,char1,じゃがいも,100,100,えぇ！？そうなの！？
wait,1,,,,
text,char2,レッドポテト,100,100,お前は俺らよりも随分長くておまけに白い！見た目も何もかも俺らとは違うじゃねぇか！
wait,1,,,,
text,char1,じゃがいも,100,100,確かに、君は僕よりも丸くて、とっても赤いね……同じ”じゃがいも”でも、全然違うんだね
wait,1,,,,
text,char2,レッドポテト,100,100,当たり前だろ！お前にはお前の、俺たちには俺たちの活躍する場所っていうのがあるんだ！
wait,1,,,,
text,char1,じゃがいも,100,100,僕の、活躍する場所…？
wait,1,,,,
text,char2,レッドポテト,100,100,…そういやぁ、この先の工場にお前と似たじゃがいもがいたな
wait,1,,,,
text,char1,じゃがいも,100,100,え！？ほんとに！？
wait,1,,,,
text,char2,レッドポテト,100,100,あぁ。お前と同じかは分からないが、白くて俺よりも長いじゃがいもだったぜ
wait,1,,,,
text,char1,じゃがいも,100,100,どうもありがとう！行ってみるよ！
wait,1,,,,
view,black,fadein,0.5,,
