start,2,,,,
view,black,fadeout,0.5,,
back,black,0.5,,,
text,char4,ラセットバーバンク,100,100,あれ？君はさっき乗り物から落ちていたじゃがいもじゃないかい？
wait,1,,,,
text,char1,じゃがいも,100,100,あぁ！誤って落ちてしまって、ここに来るまでにいろんなじゃがいもから話を聞いたんだけど、僕たちは食べられる存在って本当…？
wait,1,,,,
text,char1,じゃがいも,100,100,それなら、早く逃げ出さなくちゃ！ただ食べられるのは良くないよ！
wait,1,,,,
text,char4,ラセットバーバンク,100,100,そうだよ。でも、ただ食べられるためじゃなくて、人を笑顔にするんだ！
wait,1,,,,
text,char1,じゃがいも,100,100,人を..笑顔に？
wait,1,,,,
text,char4,ラセットバーバンク,100,100,僕たちはさっきの乗り物に運ばれてきただろう？僕たちが生まれた理由は、人を喜ばせるために
wait,1,,,,
text,char4,ラセットバーバンク,100,100,いろんな人の愛情を受けて、育ってきたんだ。君は落ちてしまったけどこうやって戻ってこれた
wait,1,,,,
text,char4,ラセットバーバンク,100,100,それはもう、食べられるために頑張った結果だよ！運命かもね
wait,1,,,,
text,char1,じゃがいも,100,100,僕が、食べられるために戻ってきた…!?
wait,1,,,,
text,char4,ラセットバーバンク,100,100,うん。だから逃げ出したりはしないかなあ。ここ以外にもいろんな畑や工場を見てきたはずだよ
wait,1,,,,
text,char1,じゃがいも,100,100,確かに、いろいろ見た！
wait,1,,,,
text,char4,ラセットバーバンク,100,100,彼らにちゃんと意味があるように、僕らにも意味がある
wait,1,,,,
text,char4,ラセットバーバンク,100,100,いろんな人に、美味しいっていってもらえるようなフライドポテトになるのが夢なんだ
wait,1,,,,
text,char1,じゃがいも,100,100,美味しい…..ポテトに…..
wait,1,,,,
text,char4,ラセットバーバンク,100,100,さあ！君も一緒にポテトになろう！
wait,1,,,,
text,char1,じゃがいも,100,100,……..うん！
wait,1,,,,
view,black,fadein,0.5,,
se,se1,,,,
start,2,,,,
back,black,0.5,,,
text,,???,100,100,あ～このポテト美味しい！
text,,???,100,100,じゃがいも本来の味と、塩加減最高だね
text,,???,100,100,きっと農家の人が大切に育ててるんだよ、こうやって毎日食べられるなんて幸せだ
text,,???,100,100,そうだね、安全に食べられるなんて感謝しないとね
